,drift,atd,abund185.1,abund203.1,abund205.1,abund245.1,abund259.1,abund275.1,abund277.1,abund305.1,abund347.1,abund365.1,abund367.1,abund407.1,abund437.2,abund439.2,abund467.2,abund509.2,abund529.2
0,0,104.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,105.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,105.485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,105.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,105.995,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,106.25,23,14,13,0,0,0,0,5,2,0,7,3,6,0,22,0,9
6,6,106.505,41,14,27,4,0,0,0,0,0,0,29,4,0,0,22,0,37
7,7,106.76,61,0,88,0,4,0,0,2,3,0,25,7,0,0,3,0,43
8,8,107.015,18,0,16,23,0,0,0,0,10,0,11,2,2,0,5,0,43
9,9,107.27,2,0,39,13,21,0,0,0,0,0,13,0,4,0,9,0,34
10,10,107.525,4,4,67,14,0,9,0,15,0,0,12,0,0,0,0,0,22
11,11,107.78,31,0,49,28,3,5,0,11,4,0,5,5,5,0,0,0,23
12,12,108.035,41,0,22,36,0,3,21,1,3,0,16,9,0,0,18,0,19
13,13,108.29,73,8,10,56,3,12,8,9,13,0,16,6,0,0,0,0,19
14,14,108.545,59,9,32,55,0,51,19,4,0,0,3,0,5,0,0,0,16
15,15,108.8,148,8,18,32,0,9,23,5,0,0,41,0,0,0,12,0,48
16,16,109.055,72,21,33,50,0,13,4,17,13,0,41,0,0,0,0,0,53
17,17,109.31,47,10,22,27,0,22,7,0,0,0,9,0,0,0,0,0,44
18,18,109.565,50,12,58,16,5,15,0,9,9,0,20,0,0,0,0,0,20
19,19,109.82,31,7,39,45,0,0,10,1,0,0,18,10,0,0,0,0,37
20,20,110.075,4,23,53,6,0,25,7,3,3,0,34,5,0,0,10,0,18
21,21,110.33,13,1,150,20,3,0,0,0,0,0,11,11,0,0,0,0,22
22,22,110.585,5,0,95,23,0,9,0,15,9,0,12,0,0,0,0,0,36
23,23,110.84,0,0,118,0,0,0,8,0,0,6,14,0,0,0,7,0,40
24,24,111.095,27,6,148,5,0,3,0,0,0,0,0,0,0,0,10,0,24
25,25,111.35,11,0,41,0,0,7,0,1,0,4,16,3,0,0,0,5,65
26,26,111.605,31,16,30,11,2,0,0,4,17,2,26,7,0,0,0,0,42
27,27,111.86,3,14,87,48,0,22,2,12,9,0,3,13,0,0,0,3,13
28,28,112.115,9,0,131,63,0,0,0,4,8,0,3,0,0,0,6,0,51
29,29,112.37,54,0,49,82,0,0,0,5,17,0,16,7,0,0,0,0,52
30,30,112.625,4,0,76,85,4,0,0,14,23,0,23,21,0,0,0,0,35
31,31,112.88,54,0,45,65,8,0,0,10,35,0,10,20,0,0,0,0,52
32,32,113.135,10,9,70,127,7,0,0,13,26,0,26,6,3,0,0,12,76
33,33,113.39,38,0,46,82,0,6,0,4,30,0,52,11,4,0,7,7,113
34,34,113.645,42,0,138,80,0,5,0,13,30,0,56,0,0,0,7,4,66
35,35,113.9,41,0,110,82,1,8,0,19,29,0,62,3,15,0,6,0,117
36,36,114.155,55,0,42,45,0,0,10,7,12,0,96,14,10,0,6,13,132
37,37,114.41,29,4,100,62,0,3,0,5,20,0,54,16,5,0,21,24,96
38,38,114.665,28,0,78,62,0,16,2,0,21,0,44,0,2,0,13,5,97
39,39,114.92,93,0,28,76,2,2,4,8,31,0,62,0,0,0,3,0,77
40,40,115.175,26,0,54,50,2,0,0,3,0,4,89,25,3,6,60,4,100
41,41,115.43,30,5,52,33,0,8,0,17,30,0,49,23,34,0,24,6,126
42,42,115.685,40,0,58,74,0,22,5,32,24,0,141,17,60,0,48,40,141
43,43,115.94,14,0,61,61,0,24,9,55,24,13,149,54,96,0,89,14,274
44,44,116.195,55,0,79,38,25,56,9,54,87,0,387,132,180,0,186,55,465
45,45,116.45,34,3,48,41,6,50,0,61,131,15,767,111,385,10,257,47,1042
46,46,116.705,28,3,169,91,10,81,6,148,173,64,1446,240,463,24,512,95,2119
47,47,116.96,29,0,240,87,0,147,6,219,380,36,2730,467,909,9,904,272,4231
48,48,117.215,53,45,357,87,22,301,12,435,575,89,4740,556,1137,34,1610,398,6976
49,49,117.47,88,23,583,124,21,336,50,578,765,87,7344,918,1961,50,2084,539,11561
50,50,117.725,128,67,1456,203,42,591,32,1036,1293,102,13437,1455,2753,47,3702,917,22065
51,51,117.98,213,43,2939,244,51,1119,112,2129,2965,270,29231,2906,4732,64,7928,1344,46993
52,52,118.235,567,30,5336,551,62,1799,182,5144,6355,516,66116,6090,8623,233,18516,2384,104839
53,53,118.49,855,56,9207,836,115,2863,293,10738,12551,814,132335,11609,14712,413,39257,4242,219020
54,54,118.745,1153,100,13451,1383,88,3988,592,17374,22063,1278,223877,21861,23157,572,70312,7354,376351
55,55,119.0,1484,121,17555,1830,93,5888,663,25134,30635,1698,312331,30007,30988,942,101928,10002,540943
56,56,119.255,1429,160,19889,2104,183,6674,712,31103,37073,2207,373068,36773,36276,1163,123083,11506,649383
57,57,119.51,1554,215,19407,1961,169,6946,758,32495,37381,2507,389137,38766,36970,1120,130450,12246,682783
58,58,119.765,1485,139,17869,1806,171,6570,868,30015,35590,2114,371144,37179,34478,1108,123609,11915,655967
59,59,120.02,1317,110,15522,1545,117,5415,705,26187,30491,1807,329574,33219,31461,920,110075,10021,587412
60,60,120.275,1086,51,13312,1322,150,4688,564,21952,25826,1459,272857,26676,25501,697,91753,8390,490696
61,61,120.53,853,38,10196,996,89,3624,415,16786,20361,1349,215853,21241,19585,534,70850,6452,388805
62,62,120.785,575,74,7103,844,40,2511,334,12438,14350,925,158528,15204,14067,520,53160,4446,288560
63,63,121.04,339,56,4989,475,39,1738,252,7985,9790,608,108142,9990,9042,393,34037,3025,198116
64,64,121.295,311,45,3010,469,10,1024,127,5068,5837,425,66755,5908,5638,196,20262,1906,121035
65,65,121.55,101,6,1621,239,7,537,39,2587,3038,162,36598,3179,3018,140,10444,958,66601
66,66,121.805,60,0,812,71,4,329,31,1203,1341,96,17123,1445,1245,59,4810,471,30371
67,67,122.06,17,0,379,43,3,155,12,559,593,18,6942,602,526,37,1692,185,12315
68,68,122.315,0,0,102,3,5,18,8,179,253,1,2269,240,281,14,688,90,4203
69,69,122.57,2,9,57,0,4,10,2,83,108,4,687,59,40,5,208,20,1263
70,70,122.825,0,0,7,5,0,0,0,23,34,0,299,35,19,0,66,5,446
71,71,123.08,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,13,0
72,72,123.335,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7
73,73,123.59,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17
74,74,123.845,0,0,0,0,0,0,0,0,2,0,23,0,0,0,4,5,16
75,75,124.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
76,76,124.355,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,4
77,77,124.61,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,31
78,78,124.865,0,0,6,0,0,0,0,12,0,0,5,0,0,0,5,4,15
79,79,125.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,80,125.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,81,125.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
82,82,125.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,126.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,84,126.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,85,126.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,86,126.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,87,127.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,88,127.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,89,127.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,90,127.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,91,128.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,92,128.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,128.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,94,128.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,95,129.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,96,129.455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
97,97,129.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
98,98,129.965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,99,130.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
100,100,130.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,101,130.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,102,130.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,131.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,131.495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,131.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,106,132.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,107,132.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,108,132.515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,109,132.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,110,133.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
111,111,133.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,112,133.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,113,133.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,114,134.045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
115,115,134.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,134.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,117,134.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,135.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,135.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,135.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,135.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,122,136.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,123,136.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,136.595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,136.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,126,137.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,127,137.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,128,137.615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,129,137.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,130,138.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,131,138.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,132,138.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,133,138.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134,139.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,135,139.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,136,139.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,137,139.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,138,140.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,140.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,140,140.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,141,140.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,142,141.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,143,141.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,144,141.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,145,141.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,146,142.205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,147,142.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,148,142.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,149,142.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,150,143.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,151,143.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,152,143.735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,153,143.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,154,144.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,155,144.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,156,144.755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,157,145.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,158,145.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,159,145.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,160,145.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,161,146.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,162,146.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,163,146.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,164,146.795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,165,147.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,166,147.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,167,147.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,168,147.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,169,148.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,170,148.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,171,148.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,172,148.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,173,149.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,174,149.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,175,149.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,176,149.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,177,150.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,178,150.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,179,150.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,180,150.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,181,151.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,182,151.385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,183,151.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,184,151.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,185,152.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,186,152.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,187,152.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,188,152.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,189,153.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,190,153.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,191,153.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,192,153.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,193,154.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,194,154.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,195,154.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,196,154.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,197,155.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,198,155.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,199,155.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
